title,authors,publisher,date
Preparing Data for Analysis with JMP,['Robert Carver'],SAS Institute,May 2017
Java 9 Data Structures and Algorithms,['Debasish Ray Chawdhuri'],Packt Publishing,April 2017
D3.js 4.x Data Visualization,"['Aendrew H. Rininsland', 'Swizec Teller']",Packt Publishing,April 2017
Machine Learning with Spark,"['Rajdeep Dua', 'Manpreet Singh Ghotra', 'Nick Pentreath']",Packt Publishing,April 2017
Vue.js 2 Cookbook,['Andrea Passaglia'],Packt Publishing,April 2017
Learning React,"['Alex Banks', 'Eve Porcello']",O'Reilly Media,April 2017
Learning Apache Cassandra,['Sandeep Yarabarla'],Packt Publishing,April 2017
Expert Data Visualization,['Jos Dirksen'],Packt Publishing,April 2017
Deep Learning with TensorFlow,"['Giancarlo Zaccone', 'Md. Rezaul Karim', 'Ahmed Menshawy']",Packt Publishing,April 2017
Take Control of Your Online Privacy,['Joe Kissell'],TidBITS / Take Control Books,April 2017
Oracle Business Intelligence Enterprise Edition 12c,"['Adrian Ward', 'Christian Screen', 'Haroun Khan']",Packt Publishing,April 2017
SPSS Statistics for Data Analysis and Visualization,"['Keith McCormick', 'Jesus Salcedo']",Wiley,April 2017
Algorithms For Dummies,"['John Mueller', 'Luca Massaron']",For Dummies,April 2017
Mastering Azure Analytics,['Zoiner Tejada'],O'Reilly Media,April 2017
Defensive Security Handbook,"['Lee Brotherston', 'Amanda Berlin']",O'Reilly Media,April 2017
D3.js: Cutting-edge Data Visualization,"['Aendrew H. Rininsland', 'Michael Heydt', 'Pablo Navarro Castillo']",Packt Publishing,March 2017
Python: Data Analytics and Visualization,"['Phuong Vo. T. H.', 'Martin Czygan', 'Ashish Kumar', 'Kirthi Raman']",Packt Publishing,March 2017
R: Predictive Analysis,"['Tony Fischetti', 'Eric Mayor', 'Rui Miguel Forte']",Packt Publishing,March 2017
Designing with Data,"['Rochelle King', 'Elizabeth F Churchill', 'Caitlin Tan']",O'Reilly Media,March 2017
Applying Data Science,['Gerhard Svolba'],SAS Institute,March 2017
Mastering Spark for Data Science,"['Andrew Morgan', 'Antoine Amend', 'David George', 'Matthew Hallett']",Packt Publishing,March 2017
Java Data Science Cookbook,['Rushdi Shams'],Packt Publishing,March 2017
Learning Apache Spark 2,['Muhammad Asif Abbasi'],Packt Publishing,March 2017
Python Data Analysis,['Armando Fandango'],Packt Publishing,March 2017
Learning C for Arduino,['Syed Omar Faruk Towaha'],Packt Publishing,March 2017
Hadoop in the Enterprise: Architecture,"['Jan Kunigk', 'Lars George', 'Paul Wilkinson', 'Ian Buss']",O'Reilly Media,March 2017
An Introduction to SAS Visual Analytics,"['Tricia Aanderud', 'Rob Collum', 'Ryan Kumpfmiller']",SAS Institute,March 2017
Designing Data-Intensive Applications,['Martin Kleppmann'],O'Reilly Media,March 2017
"Cody's Data Cleaning Techniques Using SAS, Third Edition",['Ron Cody'],SAS Institute,March 2017
Understanding Metadata,"['Federico Castanedo', 'Scott Gidley']",O'Reilly Media,March 2017
Everyday Data Structures,['William H. Smith'],Packt Publishing,March 2017
Machine Learning & Data Science Landscape,"['Christina Voskoglou', 'Mark Wilcox', 'Stijn Schuermans']",VisionMobile,March 2017
JSON at Work,['Tom Marrs'],O'Reilly Media,March 2017
Effective Business Intelligence with QuickSight,['Rajesh Nadipalli'],Packt Publishing,March 2017
Building Dashboards with Microsoft Dynamics GP 2016,"['Belinda Allen', 'Mark Polino']",Packt Publishing,March 2017
Big Data Visualization,['James D. Miller'],Packt Publishing,February 2017
Data Visualization with D3 4.x Cookbook,['Nick Qi Zhu'],Packt Publishing,February 2017
Splunk: Enterprise Operational Intelligence Delivered,"['Betsy Page Sigman', 'Erickson Delgado', 'Josh Diakun', 'Paul F. Johnson', 'Derek ...']",Packt Publishing,February 2017
QGIS: Becoming a GIS Power User,"['Anita Graser', 'Ben Mearns', 'Alex Mandel', 'Victor Olaya Ferrero', 'Alexander Bruy']",Packt Publishing,February 2017
Spring: Developing Java Applications for the Enterprise,"['Ravi Kant Soni', 'Amuthan Ganeshan', 'Rajesh RV']",Packt Publishing,February 2017
Learning PySpark,"['Tomasz Drabas', 'Denny Guang-Yeu Lee']",Packt Publishing,February 2017
Scala: Guide for Data Science Professionals,"['Pascal Bugnion', 'Arun Manivannan', 'Patrick R. Nicolas']",Packt Publishing,February 2017
Learning Functional Data Structures and Algorithms,"['Atul S. Khot', 'Raju Kumar Mishra']",Packt Publishing,February 2017
Data Science For Dummies,"['Lillian Pierson', 'Jake Porway']",Wiley / For Dummies,February 2017
JMP Start Statistics,"['John Sall', 'Mia L. Stephens', 'Ann W. Lehman', 'Sheila Loring']",SAS Institute,February 2017
"JMP 13 Multivariate Methods, Second Edition",['SAS Institute'],SAS Institute,February 2017
Stream Processing with Apache Flink,"['Fabian Hueske', 'Vasiliki Kalavri']",O'Reilly Media,February 2017
Learning Apache Flink,['Tanmay Deshpande'],Packt Publishing,February 2017
PostgreSQL High Availability Cookbook,['Shaun M. Thomas'],Packt Publishing,February 2017
Zabbix: Enterprise Network Monitoring Made Easy,"['Rihards Olups', 'Andrea Dalle Vacche', 'Patrik Uytterhoeven']",Packt Publishing,February 2017
HBase High Performance Cookbook,['Ruchir Choudhry'],Packt Publishing,January 2017
Automate it! - Recipes to upskill your business,['Chetan Giridhar'],Packt Publishing,January 2017
Elasticsearch: A Complete Guide,"['Bharvi Dixit', 'Rafal Kuc', 'Marek Rogozinski', 'Saurabh Chhajed']",Packt Publishing,January 2017
Tabular Modeling with SQL Server 2016 Analysis Services Cookbook,['Derek Wilson'],Packt Publishing,January 2017
"Understanding the Chief Data Officer, 2nd Edition",['Julia Steele'],O'Reilly Media,January 2017
Take Control of Your Digital Legacy,['Joe Kissell'],TidBITS / Take Control Books,January 2017
Java for Data Science,"['Richard M Reese', 'Jennifer L. Reese']",Packt Publishing,January 2017
Building Recommendation Engines,['Suresh K. Gorakala'],Packt Publishing,December 2016
Tableau Cookbook – Recipes for Data Visualization,['Shweta Sankhe-Savale'],Packt Publishing,December 2016
Apache Spark for Data Science Cookbook,['Padma Priya Chitturi'],Packt Publishing,December 2016
Fast Data Processing Systems with SMACK Stack,['Raul Estrada'],Packt Publishing,December 2016
Practical Business Intelligence,['Ahmed Sherif'],Packt Publishing,December 2016
Applied Text Analysis with Python,"['Benjamin Bengfort', 'Rebecca Bilbro', 'Tony Ojeda']",O'Reilly Media,December 2016
"Fundamentals of Predictive Analytics with JMP, Second Edition","['Ron Klimberg', 'B. D. McCullough']",SAS Institute,December 2016
Market Data Analysis Using JMP,['Walter R. Paczkowski'],SAS Institute,December 2016
Principles of Data Science,['Sinan Ozdemir'],Packt Publishing,December 2016
Mastering RethinkDB,['Shahid Shaikh'],Packt Publishing,December 2016
SAS ODS Graphics Designer by Example,"['Sanjay Matange', 'Jeanette Bottitta']",SAS Institute,December 2016
Data Acquisition Using LabVIEW,['Behzad Ehsani'],Packt Publishing,December 2016
Tableau 10.0 Best Practices,['Jenny Zhang'],Packt Publishing,December 2016
R for Data Science,"['Hadley Wickham', 'Garrett Grolemund']",O'Reilly Media,December 2016
Building VMware Software-Defined Data Centers,['Valentin Hamburger'],Packt Publishing,December 2016
Applied Akka Patterns,"['Michael Nash', 'Wade Waldron']",O'Reilly Media,December 2016
Efficient R Programming,"['Colin Gillespie', 'Robin Lovelace']",O'Reilly Media,December 2016
Mastering Tableau,['David Baldwin'],Packt Publishing,December 2016
Practical Machine Learning with H2O,['Darren Cook'],O'Reilly Media,December 2016
Silicon Photonics,"['Daryl Inniss', 'Roy Rubenstein']",Elsevier / Morgan Kaufmann,December 2016
Advanced Persistent Security,"['Ira Winkler', 'Araceli Treu Gomes']",Elsevier / Syngress,November 2016
MDX with Microsoft SQL Server 2016 Analysis Services Cookbook,"['Tomislav Piasevoli', 'Sherry Li']",Packt Publishing,November 2016
Tableau 10 Business Intelligence Cookbook,['Donabel Santos'],Packt Publishing,November 2016
Penetration Testing with Raspberry Pi,"['Michael McPhee', 'Jason Beltrame']",Packt Publishing,November 2016
Implementing CDISC Using SAS,"['Chris Holland', 'Jack Shostak']",SAS Institute,November 2016
"Agent-based Spatial Simulation with NetLogo, Volume 2","['Arnaud Banos', 'Christophe Lang', 'Nicolas Marilleau']",Elsevier / ISTE Press - Elsevier,November 2016
"R: Recipes for Analysis, Visualization and Machine Learning","['Viswa Viswanathan', 'Shanthi Viswanathan', 'Atmajitsinh Gohil', 'Yu-Wei', 'Chiu']",Packt Publishing,November 2016
Python Data Science Handbook,['Jake VanderPlas'],O'Reilly Media,November 2016
R Data Structures and Algorithms,"['PKS Prakash', 'Achyutuni Sri Krishna Rao']",Packt Publishing,November 2016
Head First Python,['Paul Barry'],O'Reilly Media,November 2016
Swift Data Structure and Algorithms,"['Erik Azar', 'Mario Eguiluz Alebicto']",Packt Publishing,November 2016
Jobs to Be Done,"['Stephen WUNKER', 'Jessica WATTMAN', 'David J. Farber']",AMACOM,November 2016
Python: Real World Machine Learning,"['Prateek Joshi', 'John Hearty', 'Bastiaan Sjardin', 'Luca Massaron', 'Alberto Boschetti']",Packt Publishing,November 2016
Programming Pig,"['Alan Gates', 'Daniel Dai']",O'Reilly Media,November 2016
Blind Spot,"['Steve Diller', 'Nathan Shedroff', 'Sean Tauber']",Rosenfeld Media,November 2016
Python Data Science Essentials,"['Alberto Boschetti', 'Luca Massaron']",Packt Publishing,October 2016
Learning R Programming,['Kun Ren'],Packt Publishing,October 2016
Learning Go Programming,['Vladimir Vivien'],Packt Publishing,October 2016
Fast Data Processing with Spark 2,['Krishna Sankar'],Packt Publishing,October 2016
Introduction to Apache Flink,"['Ellen Friedman', 'Kostas Tzoumas']",O'Reilly Media,October 2016
Learning VMware vSphere,"['Abhilash G B', 'Rebecca Fitzhugh']",Packt Publishing,October 2016
Network Storage,"[""James O'Reilly""]",Elsevier / Morgan Kaufmann,October 2016
Apache Spark 2 for Beginners,['Rajanarayanan Thottuvaikkatumana'],Packt Publishing,October 2016
Open source in the Internet of Things,"['Stijn Schuermans', 'Michael Vakulenko', 'Christina Voskoglou']",VisionMobile,October 2016
Cross-Platform Tools 2015,"['Mark Wilcox', 'Christina Voskoglou']",VisionMobile,October 2016
